,drug_name,drug_id,ind_name,ind_id,status
0,Lepirudin,DB00001,Heparin-induced thrombocytopenia with thrombosis,C0272275,Approved
1,Cetuximab,DB00002,Squamous cell carcinoma of mouth,C0585362,Approved
2,Cetuximab,DB00002,Squamous cell carcinoma of nose,C3163899,Approved
3,Cetuximab,DB00002,Squamous cell carcinoma of pharynx,C1319317,Approved
4,Cetuximab,DB00002,Laryngeal Squamous Cell Carcinoma,C0280324,Approved
5,Cetuximab,DB00002,Malignant tumor of colon,C0007102,Approved
6,Dornase alfa,DB00003,Cystic Fibrosis,C0010674,Approved
7,Denileukin diftitox,DB00004,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved
8,Etanercept,DB00005,Rheumatoid Arthritis,C0003873,Approved
9,Etanercept,DB00005,Juvenile arthritis,C3495559,Approved
10,Etanercept,DB00005,"Arthritis, Psoriatic",C0003872,Approved
11,Etanercept,DB00005,Ankylosing spondylitis,C0038013,Approved
12,Etanercept,DB00005,Chronic small plaque psoriasis,C0406317,Approved
13,Leuprolide,DB00007,Precocious Puberty,C0034013,Approved
14,Leuprolide,DB00007,Endometriosis,C0014175,Approved
15,Peginterferon alfa-2a,DB00008,"Hepatitis C, Chronic",C0524910,Approved
16,Peginterferon alfa-2a,DB00008,"Hepatitis B, Chronic",C0524909,Approved
17,Alteplase,DB00009,Ischemic stroke,C0948008,Approved
18,Alteplase,DB00009,Acute myocardial infarction,C0155626,Approved
19,Alteplase,DB00009,Pulmonary Embolism,C0034065,Approved
20,Sermorelin,DB00010,Pituitary dwarfism,C0013338,Approved
21,Urokinase,DB00013,Pulmonary Embolism,C0034065,Approved
22,Goserelin,DB00014,Hormone receptor positive malignant neoplasm of breast,C1562029,Approved
23,Goserelin,DB00014,Endometriosis,C0014175,Approved
24,Reteplase,DB00015,Acute myocardial infarction,C0155626,Approved
25,Erythropoietin,DB00016,Anemia in chronic kidney disease,C1561828,Approved
26,Erythropoietin,DB00016,Anemia due to chemotherapy,C1998329,Approved
